2025-10-08 19:19:23 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:19:23.410173"}
2025-10-08 19:48:59 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T19:48:59.379600"}
2025-10-08 19:48:59 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.6, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:59.590668"}
2025-10-08 20:02:34 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:02:34.069619"}
2025-10-08 20:02:34 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:02:34.088937"}
2025-10-08 20:02:34 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:02:34.183522"}
2025-10-08 20:02:34 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.13, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:02:34.491230"}
2025-10-08 20:02:36 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T20:02:36.498564"}
2025-10-08 20:02:36 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.6, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:02:36.655624"}
2025-10-08 20:02:36 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.8, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:02:36.669803"}
2025-10-08 20:03:12 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:03:12.631135"}
2025-10-08 20:03:12 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:03:12.649072"}
2025-10-08 20:03:13 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.13, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:03:13.080453"}
2025-10-08 20:03:15 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T20:03:15.100973"}
2025-10-08 20:03:16 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.6, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:03:16.475879"}
2025-10-08 20:15:12 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:15:12.875233"}
2025-10-08 20:15:12 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:15:12.898017"}
2025-10-08 20:15:12 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:15:12.958501"}
2025-10-08 20:15:13 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.13, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:15:13.265458"}
2025-10-08 20:15:15 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T20:15:15.270301"}
2025-10-08 20:15:15 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.6, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T20:15:15.359339"}
